query,N,seconds,result
query_1,3,0.016,unsat
query_2,3,0.001,unsat
query_1,4,0.001,unsat
query_2,4,0.003,unsat
query_1,5,0.002,unsat
query_2,5,0.003,unsat
query_1,6,0.003,unsat
query_2,6,0.007,unsat
query_1,7,0.004,unsat
query_2,7,0.004,unsat
query_1,8,0.005,unsat
query_2,8,0.007,unsat
query_1,9,0.008,unsat
query_2,9,0.008,unsat
query_1,10,0.010,unsat
query_2,10,0.010,unsat
query_1,11,0.014,unsat
query_2,11,0.013,unsat
query_1,12,0.021,unsat
query_2,12,0.017,unsat
query_1,13,0.026,unsat
query_2,13,0.027,unsat
query_1,14,0.029,unsat
query_2,14,0.028,unsat
query_1,15,0.035,unsat
query_2,15,0.058,unsat
query_1,16,0.054,unsat
query_2,16,0.043,unsat
query_1,17,0.061,unsat
query_2,17,0.065,unsat
query_1,18,0.066,unsat
query_2,18,0.071,unsat
query_1,19,0.096,unsat
query_2,19,0.075,unsat
query_1,20,0.115,unsat
query_2,20,0.099,unsat
